Soil Moisture,Temperature,Air Humidity (%),Status
50.21,30.98,69.56,ON
85.72,38.83,56.21,ON
52.54,31.9,59.85,ON
58.04,35.5,51.46,ON
87.66,41.3,46.65,ON
23.04,22.66,66.15,OFF
24.59,23.2,59.59,OFF
69.39,34.22,62.6,ON
26.54,25.98,60.45,OFF
88.87,45.0,50.09,ON
41.73,28.92,54.88,ON
35.05,25.66,75.15,ON
88.46,40.61,59.43,ON
79.61,37.63,53.87,ON
87.35,44.63,53.98,ON
68.12,38.27,63.66,ON
32.78,24.71,60.54,ON
88.2,38.3,66.55,ON
44.64,22.73,61.2,ON
66.05,32.65,59.52,ON
68.95,35.42,50.49,ON
46.9,31.87,48.18,ON
62.28,32.38,65.62,ON
68.44,36.54,58.5,ON
57.53,34.86,50.41,ON
28.01,23.66,57.6,OFF
55.96,31.5,66.82,ON
76.53,35.34,58.04,ON
36.11,23.43,73.1,ON
47.01,29.93,65.22,ON
41.3,26.99,63.47,ON
86.99,41.34,55.36,ON
63.45,33.94,56.86,ON
58.15,33.77,60.23,ON
34.6,23.81,65.41,ON
60.78,32.56,64.65,ON
36.51,29.75,61.34,ON
50.64,28.59,66.96,ON
37.28,25.62,69.23,ON
63.53,32.88,61.18,ON
61.53,34.35,52.83,ON
45.83,30.79,60.72,ON
57.92,31.38,51.64,ON
28.14,22.58,60.42,OFF
20.17,20.49,71.36,OFF
58.79,33.7,62.26,ON
53.33,29.52,62.27,ON
62.7,33.06,58.65,ON
97.66,39.55,52.57,ON
68.89,32.9,57.69,ON
31.74,24.3,70.25,ON
72.34,38.5,59.28,ON
23.68,22.69,59.53,OFF
40.77,25.03,65.97,ON
48.64,26.79,64.63,ON
84.27,40.63,63.87,ON
35.1,22.23,57.88,ON
33.47,27.17,59.78,ON
48.03,29.54,67.15,ON
36.73,22.8,60.76,ON
72.53,34.83,71.03,ON
28.4,22.07,60.86,OFF
27.05,21.57,67.2,OFF
41.24,24.39,68.16,ON
40.04,25.26,69.25,ON
88.59,40.21,59.45,ON
68.99,34.27,57.13,ON
51.75,32.78,64.9,ON
25.49,22.86,62.51,OFF
66.89,33.08,57.48,ON
30.0,23.33,68.29,OFF
19.1,18.97,76.16,OFF
73.76,36.53,56.94,ON
56.34,33.65,55.36,ON
68.42,36.03,64.43,ON
56.37,36.48,51.79,ON
67.14,35.89,67.66,ON
36.98,24.27,60.52,ON
29.32,25.41,67.96,OFF
63.63,36.25,62.88,ON
33.93,27.37,67.5,ON
36.21,23.67,66.93,ON
40.89,26.97,64.06,ON
50.35,32.37,52.31,ON
42.92,24.51,61.39,ON
22.5,20.75,71.17,OFF
37.13,23.28,69.35,ON
5.53,15.0,65.81,OFF
62.5,31.73,62.7,ON
17.96,22.89,67.53,OFF
27.91,22.9,75.01,OFF
51.04,28.59,60.76,ON
35.21,23.49,63.31,ON
80.86,39.54,51.66,ON
24.14,22.22,61.67,OFF
55.34,34.29,61.3,ON
49.21,30.76,58.02,ON
26.64,20.13,73.3,OFF
60.47,31.88,57.73,ON
46.57,31.11,69.0,ON
65.44,33.39,62.06,ON
66.47,38.41,58.25,ON
93.26,40.78,49.78,ON
76.73,39.16,58.15,ON
42.62,26.06,64.59,ON
45.21,27.54,66.63,ON
71.99,38.8,54.17,ON
63.11,33.68,52.53,ON
62.8,35.47,60.1,ON
17.66,21.24,67.95,OFF
49.51,31.36,62.4,ON
35.24,23.8,70.75,ON
55.6,31.24,56.56,ON
48.04,30.26,49.94,ON
68.2,33.76,62.12,ON
56.34,35.16,60.93,ON
65.73,33.16,57.72,ON
40.67,26.6,64.89,ON
31.11,22.32,61.37,ON
41.8,23.25,55.52,ON
49.66,33.49,51.44,ON
57.58,31.87,61.09,ON
95.19,42.66,61.32,ON
49.15,29.35,60.44,ON
30.88,27.1,67.81,ON
43.08,25.99,61.43,ON
40.73,28.58,62.58,ON
59.63,32.04,64.76,ON
19.18,19.56,68.93,OFF
51.27,31.51,58.38,ON
53.13,32.92,55.92,ON
54.64,30.37,61.32,ON
38.05,24.88,70.98,ON
45.24,26.23,56.41,ON
21.52,23.66,70.1,OFF
40.13,25.89,65.88,ON
39.14,23.04,61.33,ON
58.32,35.32,58.72,ON
26.88,20.32,66.79,OFF
65.62,36.25,53.51,ON
79.89,39.33,53.7,ON
8.6,18.16,62.83,OFF
58.53,31.39,50.81,ON
63.54,34.79,59.88,ON
37.25,22.84,71.52,ON
42.05,28.79,70.89,ON
47.34,32.32,55.05,ON
44.04,29.98,72.75,ON
43.82,24.11,73.17,ON
16.48,17.98,76.33,OFF
73.05,36.54,54.15,ON
71.59,37.45,54.72,ON
33.73,24.91,55.36,ON
20.67,20.22,68.83,OFF
60.42,34.32,57.44,ON
38.48,28.87,63.48,ON
52.84,30.39,57.6,ON
43.61,29.54,65.64,ON
63.83,28.99,64.32,ON
63.89,32.29,54.9,ON
35.49,25.0,64.77,ON
22.33,20.72,68.99,OFF
18.34,21.17,77.34,OFF
62.21,35.69,59.07,ON
26.22,23.88,60.97,OFF
39.86,25.71,62.99,ON
38.07,23.38,65.82,ON
48.95,30.8,60.85,ON
11.27,15.0,61.79,OFF
53.78,32.44,58.88,ON
60.48,32.77,56.87,ON
51.77,28.18,61.79,ON
43.78,28.71,73.38,ON
51.95,30.58,57.49,ON
57.98,32.32,67.8,ON
0.0,15.0,76.8,OFF
89.12,42.57,57.87,ON
57.8,34.19,59.5,ON
36.95,27.08,67.02,ON
42.18,29.68,59.94,ON
59.87,32.87,57.54,ON
47.68,32.54,56.74,ON
9.39,18.96,69.99,OFF
91.29,41.3,54.17,ON
47.79,27.15,62.51,ON
70.4,36.53,65.18,ON
36.16,23.23,62.54,ON
80.73,37.27,61.31,ON
55.73,32.2,58.07,ON
62.18,32.44,52.58,ON
29.09,21.86,59.75,OFF
74.22,37.2,55.22,ON
63.8,34.28,62.58,ON
76.04,37.4,60.77,ON
37.44,25.48,63.51,ON
40.38,28.82,65.8,ON
96.08,44.51,53.68,ON
28.8,23.19,64.78,OFF
47.28,34.11,63.81,ON
72.74,37.21,63.61,ON
51.95,32.85,65.37,ON
61.66,32.38,59.04,ON
42.01,24.88,67.91,ON
57.4,30.64,50.97,ON
23.87,21.62,68.0,OFF
83.16,38.96,58.43,ON
47.64,31.96,61.58,ON
36.4,25.68,63.48,ON
63.33,34.92,65.57,ON
40.79,27.14,63.25,ON
23.31,21.13,66.63,OFF
23.07,22.0,65.6,OFF
63.88,37.59,62.62,ON
46.81,27.51,62.03,ON
47.33,30.73,57.39,ON
71.55,34.41,58.81,ON
27.46,22.32,75.15,OFF
35.39,25.62,63.12,ON
42.3,28.34,66.07,ON
51.89,33.53,58.49,ON
49.16,29.65,60.83,ON
44.26,26.59,61.24,ON
48.77,30.93,55.36,ON
47.85,28.63,62.27,ON
35.61,26.16,67.9,ON
33.74,24.89,72.95,ON
55.49,27.76,65.55,ON
32.18,25.67,60.51,ON
26.85,24.22,69.19,OFF
43.75,29.98,64.28,ON
46.85,32.65,67.4,ON
95.13,41.15,65.76,ON
35.91,26.8,69.99,ON
68.87,36.48,56.15,ON
64.94,33.64,59.02,ON
26.22,23.66,71.59,OFF
65.47,35.64,56.08,ON
26.32,20.46,67.02,OFF
0.0,15.49,73.88,OFF
62.13,31.8,66.27,ON
14.88,18.16,70.22,OFF
59.02,29.16,48.04,ON
36.32,24.95,66.73,ON
83.19,39.55,54.71,ON
71.37,37.51,52.61,ON
40.93,27.28,63.75,ON
36.24,22.79,71.93,ON
25.72,24.44,59.69,OFF
41.18,27.12,71.68,ON
44.39,29.29,67.32,ON
42.71,29.74,66.82,ON
53.13,33.79,55.66,ON
61.57,37.39,56.31,ON
56.99,31.95,58.91,ON
34.72,26.04,64.38,ON
21.24,19.22,68.16,OFF
77.29,40.31,54.23,ON
36.21,23.49,65.01,ON
36.95,22.48,65.46,ON
39.58,28.53,64.22,ON
13.14,17.9,61.0,OFF
40.44,28.69,65.22,ON
40.41,27.94,71.72,ON
62.41,30.46,67.09,ON
63.97,28.75,58.02,ON
50.08,27.83,68.53,ON
68.64,35.62,70.07,ON
56.8,29.6,61.03,ON
49.69,28.6,66.44,ON
53.22,28.05,74.67,ON
46.19,29.2,67.63,ON
42.1,27.81,71.07,ON
44.65,27.43,58.07,ON
27.44,26.03,65.56,OFF
55.61,34.68,61.15,ON
30.14,25.17,67.72,ON
66.83,31.45,65.08,ON
45.01,26.29,65.0,ON
50.99,31.11,54.77,ON
59.88,31.71,66.31,ON
62.87,32.89,62.16,ON
18.59,22.37,60.68,OFF
45.86,29.78,65.93,ON
67.6,37.91,60.02,ON
16.04,18.95,71.31,OFF
57.75,35.07,57.52,ON
4.89,15.36,78.96,OFF
29.55,26.86,66.74,OFF
50.77,30.44,57.78,ON
16.87,18.34,61.28,OFF
30.29,20.82,63.67,ON
20.56,20.57,55.81,OFF
82.96,39.38,55.07,ON
53.28,32.7,61.02,ON
61.35,33.18,54.05,ON
45.55,27.8,60.59,ON
42.93,30.03,69.75,ON
17.67,19.85,68.63,OFF
44.16,27.1,71.42,ON
34.77,26.58,63.13,ON
67.16,34.17,58.62,ON
72.82,38.16,46.11,ON
79.33,37.61,61.08,ON
67.05,34.67,64.7,ON
38.03,26.71,62.26,ON
27.68,22.56,64.91,OFF
65.33,34.57,63.32,ON
57.13,33.77,56.06,ON
14.63,20.21,63.96,OFF
57.11,33.09,61.73,ON
66.29,33.62,56.8,ON
51.18,32.06,63.82,ON
46.3,30.23,57.26,ON
33.85,27.16,71.25,ON
21.07,19.87,71.36,OFF
66.01,34.46,59.66,ON
43.82,29.41,57.98,ON
45.33,27.38,58.28,ON
84.65,39.94,51.55,ON
63.69,37.96,50.06,ON
57.42,36.13,65.03,ON
52.84,33.33,61.71,ON
80.4,41.0,60.75,ON
84.39,38.28,65.73,ON
68.59,36.6,64.57,ON
61.64,32.78,62.58,ON
8.11,15.32,68.76,OFF
52.47,29.72,65.91,ON
47.4,29.45,63.39,ON
51.88,29.47,61.02,ON
68.86,34.56,56.69,ON
0.0,16.58,75.45,OFF
38.61,26.87,71.26,ON
55.4,32.09,59.37,ON
40.66,27.42,61.36,ON
21.66,20.15,71.4,OFF
67.38,32.47,57.34,ON
55.54,32.28,63.65,ON
30.58,23.16,74.79,ON
56.3,27.87,61.19,ON
66.43,34.14,59.64,ON
50.11,27.85,73.24,ON
66.01,36.2,56.41,ON
51.57,31.51,61.8,ON
42.1,28.62,58.12,ON
26.81,21.71,63.46,OFF
48.28,30.95,54.54,ON
53.89,31.81,75.54,ON
67.52,34.44,62.2,ON
47.7,28.4,62.73,ON
59.15,34.53,54.0,ON
30.71,23.27,56.92,ON
34.35,25.91,65.66,ON
47.79,31.41,60.43,ON
28.91,27.49,66.02,OFF
66.4,38.25,60.51,ON
59.26,34.58,64.31,ON
55.58,28.66,62.59,ON
56.78,30.66,64.72,ON
90.42,41.03,53.34,ON
40.62,30.49,57.45,ON
5.97,15.39,69.07,OFF
53.99,31.97,64.66,ON
48.99,29.9,65.09,ON
39.65,25.02,64.92,ON
30.42,24.89,66.68,ON
41.22,28.16,71.14,ON
53.63,28.58,53.84,ON
39.94,29.43,56.07,ON
98.25,40.3,55.75,ON
30.79,23.06,69.67,ON
34.14,27.19,62.61,ON
4.23,15.0,75.52,OFF
55.03,32.21,45.64,ON
9.67,15.31,59.16,OFF
39.21,26.58,61.21,ON
44.49,23.72,79.11,ON
35.81,24.06,65.57,ON
84.78,37.35,46.38,ON
69.89,35.16,57.1,ON
76.38,37.08,60.84,ON
32.35,23.36,70.8,ON
72.57,38.37,59.33,ON
59.92,31.2,60.1,ON
65.43,35.9,61.86,ON
70.59,39.44,62.11,ON
31.82,24.83,62.33,ON
41.51,25.74,63.94,ON
67.25,32.68,59.71,ON
0.0,15.0,62.47,OFF
80.27,40.49,49.42,ON
61.06,33.63,48.23,ON
49.09,31.6,61.46,ON
54.41,32.86,58.79,ON
29.4,24.1,63.84,OFF
43.0,28.85,62.52,ON
72.01,40.31,58.41,ON
75.96,40.62,52.27,ON
100.0,44.39,59.23,ON
48.52,31.54,53.12,ON
36.83,27.22,63.6,ON
39.72,29.19,62.0,ON
29.64,25.23,69.11,OFF
48.44,27.58,60.97,ON
57.65,29.06,67.91,ON
49.32,30.94,60.27,ON
71.93,40.38,55.26,ON
45.32,27.04,63.03,ON
43.05,27.54,66.97,ON
38.37,24.44,69.6,ON
17.35,22.56,63.44,OFF
18.64,15.98,63.37,OFF
26.42,18.4,64.06,OFF
76.03,38.56,57.69,ON
67.91,35.21,58.79,ON
77.5,37.29,58.33,ON
23.36,21.4,63.53,OFF
10.63,19.26,72.42,OFF
36.8,25.21,63.99,ON
53.52,28.86,54.52,ON
59.97,31.14,62.09,ON
70.96,38.06,59.9,ON
55.69,30.66,62.33,ON
84.85,37.69,58.04,ON
45.55,28.87,63.81,ON
31.74,25.53,59.41,ON
16.38,22.57,74.12,OFF
32.22,25.1,63.31,ON
54.84,30.13,69.25,ON
32.23,25.62,61.86,ON
68.73,37.07,62.59,ON
78.25,38.4,58.16,ON
2.61,15.69,71.09,OFF
67.28,35.7,53.88,ON
5.21,16.42,76.18,OFF
58.03,32.91,62.35,ON
74.5,35.31,58.37,ON
51.3,28.09,69.18,ON
24.41,20.65,68.05,OFF
38.29,27.77,74.39,ON
44.77,28.95,67.71,ON
46.36,30.99,59.75,ON
45.94,28.41,69.75,ON
47.8,27.05,64.07,ON
54.27,33.57,69.89,ON
25.83,22.71,66.78,OFF
45.16,31.11,60.94,ON
80.37,40.31,56.29,ON
42.31,32.07,62.76,ON
41.12,26.9,71.61,ON
71.56,38.27,58.5,ON
0.0,16.78,69.4,OFF
73.63,35.98,55.95,ON
37.36,25.86,68.41,ON
53.28,28.06,60.39,ON
51.93,27.48,57.67,ON
68.85,35.91,53.74,ON
44.65,29.98,59.69,ON
36.44,27.21,63.05,ON
75.96,38.47,62.19,ON
2.72,17.54,66.59,OFF
50.41,28.94,68.62,ON
23.04,21.37,58.99,OFF
34.77,26.91,77.03,ON
90.23,42.93,46.31,ON
49.11,29.31,63.4,ON
53.9,33.81,58.62,ON
14.37,16.73,66.04,OFF
35.42,24.59,68.63,ON
53.93,30.61,66.92,ON
57.1,33.76,58.88,ON
62.34,33.71,65.82,ON
50.17,27.53,63.8,ON
60.54,34.19,54.17,ON
59.08,34.9,58.67,ON
13.41,20.5,65.06,OFF
50.74,31.46,63.42,ON
65.36,30.86,59.49,ON
61.8,31.74,60.59,ON
42.72,28.78,57.3,ON
33.89,25.06,70.31,ON
27.63,24.34,63.62,OFF
47.38,26.68,58.64,ON
72.66,36.68,71.15,ON
10.96,15.51,63.63,OFF
36.8,22.13,69.26,ON
27.2,23.75,54.93,OFF
65.7,36.39,59.71,ON
38.91,27.17,64.64,ON
40.59,27.11,62.47,ON
45.66,25.57,57.84,ON
58.91,34.68,54.9,ON
42.15,27.56,59.43,ON
0.0,18.92,62.78,OFF
60.87,35.14,54.17,ON
58.78,28.62,70.0,ON
45.61,30.19,63.84,ON
28.32,20.7,74.23,OFF
57.04,30.59,56.7,ON
57.58,31.77,58.78,ON
40.6,26.99,55.12,ON
45.67,29.49,56.35,ON
31.4,22.37,65.12,ON
46.43,26.63,61.92,ON
18.99,21.9,75.75,OFF
58.35,32.48,61.05,ON
31.11,24.68,63.86,ON
54.76,27.04,66.07,ON
21.88,21.21,67.41,OFF
38.2,24.68,59.76,ON
47.79,27.5,60.37,ON
16.79,21.88,73.87,OFF
52.3,28.5,69.42,ON
42.42,25.54,65.96,ON
15.15,18.88,73.77,OFF
23.94,23.08,74.37,OFF
62.1,31.86,58.67,ON
67.91,37.84,58.22,ON
47.36,32.11,61.84,ON
58.1,30.67,57.47,ON
54.48,30.85,63.72,ON
56.59,30.42,56.03,ON
75.72,34.35,59.9,ON
19.86,21.56,65.72,OFF
63.53,35.53,60.83,ON
42.36,31.73,54.19,ON
45.51,26.86,61.28,ON
43.96,30.86,70.9,ON
42.5,30.43,61.07,ON
25.48,23.04,66.52,OFF
53.67,32.3,57.27,ON
83.42,41.77,55.16,ON
48.88,33.61,61.73,ON
49.97,30.95,59.05,ON
36.25,25.76,63.3,ON
47.65,27.56,62.63,ON
59.32,33.41,61.43,ON
42.6,29.83,67.76,ON
40.92,27.77,59.99,ON
58.07,30.86,65.51,ON
31.64,24.67,69.22,ON
55.05,31.26,62.52,ON
66.41,35.45,64.14,ON
77.2,34.84,59.59,ON
48.19,30.56,62.2,ON
77.35,39.4,55.49,ON
70.69,37.1,56.39,ON
30.08,24.02,64.54,ON
25.64,19.08,59.25,OFF
43.9,28.13,66.12,ON
70.58,38.3,55.41,ON
48.55,27.85,55.95,ON
37.99,22.42,71.4,ON
81.04,36.23,53.38,ON
55.74,32.35,64.89,ON
3.59,16.82,66.2,OFF
56.34,33.68,64.59,ON
60.4,33.01,69.69,ON
54.51,28.35,55.01,ON
58.99,31.06,60.09,ON
48.65,31.23,66.04,ON
23.63,22.37,67.98,OFF
42.59,29.08,63.96,ON
31.09,25.2,69.46,ON
31.35,23.99,61.66,ON
24.74,22.07,60.34,OFF
59.05,36.43,54.57,ON
51.96,31.42,67.82,ON
41.04,27.05,59.95,ON
37.01,27.01,56.12,ON
49.53,30.31,67.6,ON
71.58,32.16,58.14,ON
9.92,19.27,66.19,OFF
57.54,35.9,51.49,ON
39.09,25.17,67.55,ON
12.31,21.6,69.88,OFF
11.09,17.81,66.56,OFF
31.74,25.11,58.97,ON
54.39,33.46,50.46,ON
57.86,30.92,64.29,ON
31.22,26.85,76.87,ON
70.34,33.67,61.82,ON
78.46,36.79,60.97,ON
57.92,31.19,62.02,ON
38.17,27.78,65.08,ON
72.49,36.06,57.2,ON
65.11,31.49,62.58,ON
67.35,34.77,55.13,ON
36.87,24.49,59.1,ON
0.0,16.46,70.68,OFF
92.34,42.01,55.28,ON
17.78,20.48,61.84,OFF
49.28,28.97,59.86,ON
97.61,45.0,51.25,ON
56.61,31.62,64.61,ON
68.98,36.35,58.99,ON
19.95,15.8,69.68,OFF
14.45,19.53,60.32,OFF
39.35,27.63,64.77,ON
71.81,36.15,60.96,ON
43.08,29.26,73.43,ON
34.11,26.71,66.21,ON
53.96,33.8,64.34,ON
71.64,36.7,62.65,ON
21.1,17.5,60.43,OFF
25.79,18.17,68.48,OFF
34.23,22.06,65.91,ON
71.89,36.49,55.8,ON
54.7,31.09,65.63,ON
92.64,43.35,62.13,ON
68.73,34.37,54.76,ON
49.3,28.32,62.23,ON
75.3,38.7,58.9,ON
54.23,32.58,56.55,ON
35.9,25.26,54.26,ON
63.6,34.0,58.52,ON
36.07,26.63,58.5,ON
44.19,29.27,52.75,ON
76.56,35.68,63.1,ON
47.97,27.95,71.41,ON
33.94,22.72,69.01,ON
40.71,26.2,66.36,ON
70.44,37.76,59.52,ON
38.95,27.78,62.95,ON
42.26,25.48,66.96,ON
39.79,27.96,62.57,ON
53.68,31.28,57.48,ON
42.29,26.7,70.37,ON
17.96,17.58,73.2,OFF
32.26,24.33,78.69,ON
31.34,25.76,60.45,ON
74.87,33.13,52.89,ON
66.25,34.08,66.26,ON
61.75,38.03,56.65,ON
39.89,28.31,69.8,ON
33.68,25.62,74.7,ON
39.85,25.48,57.85,ON
28.96,22.33,62.31,OFF
99.94,44.82,44.7,ON
5.09,19.73,67.41,OFF
61.28,34.32,55.81,ON
24.31,20.55,57.97,OFF
47.91,31.73,61.46,ON
30.24,23.49,72.32,ON
26.45,26.33,59.35,OFF
27.2,22.03,73.01,OFF
85.1,38.52,60.37,ON
47.34,29.55,61.95,ON
34.69,27.37,58.29,ON
61.12,35.41,56.41,ON
50.21,30.38,72.41,ON
64.4,32.34,58.65,ON
13.51,18.04,72.02,OFF
56.07,27.79,61.96,ON
65.45,32.81,54.82,ON
16.77,19.67,71.64,OFF
58.96,33.47,68.17,ON
83.92,39.5,61.63,ON
49.7,29.8,70.17,ON
66.43,34.14,60.23,ON
63.41,35.53,58.67,ON
35.85,23.96,68.26,ON
50.8,31.91,59.74,ON
18.66,24.52,62.83,OFF
40.97,28.24,55.09,ON
55.31,30.54,66.77,ON
64.46,33.27,60.29,ON
50.49,32.57,52.45,ON
64.4,32.07,51.67,ON
27.94,21.47,75.97,OFF
47.97,27.06,69.14,ON
50.39,27.56,65.38,ON
86.99,39.01,49.26,ON
45.72,30.29,60.5,ON
40.02,29.21,57.31,ON
50.43,28.73,60.94,ON
31.62,24.9,63.98,ON
53.86,32.67,56.77,ON
42.7,28.01,56.22,ON
14.17,17.34,73.29,OFF
48.83,26.71,65.22,ON
43.65,30.12,64.67,ON
17.35,21.2,72.96,OFF
48.66,30.75,67.06,ON
79.79,36.72,66.28,ON
60.43,33.6,64.47,ON
62.24,34.93,61.34,ON
23.17,22.58,64.39,OFF
59.54,31.37,54.73,ON
52.97,32.92,63.2,ON
60.58,30.12,60.47,ON
58.45,34.39,69.35,ON
22.8,24.0,63.08,OFF
49.17,32.9,61.66,ON
34.84,24.77,66.56,ON
49.0,27.7,56.01,ON
32.05,26.2,60.45,ON
76.25,36.48,48.18,ON
32.82,24.93,66.41,ON
32.02,23.97,66.55,ON
51.49,28.64,66.53,ON
28.46,24.18,61.87,OFF
41.51,24.67,59.9,ON
33.4,26.2,62.67,ON
78.22,36.53,60.15,ON
65.72,31.25,55.83,ON
48.85,29.55,64.18,ON
42.18,28.52,65.34,ON
68.82,36.8,62.02,ON
58.1,34.07,57.77,ON
59.96,28.28,63.47,ON
49.48,27.83,69.44,ON
16.24,20.08,64.45,OFF
47.75,32.36,60.39,ON
39.35,28.37,73.01,ON
62.9,37.67,58.92,ON
70.24,35.02,63.7,ON
36.84,26.6,65.54,ON
59.37,30.61,66.67,ON
84.72,39.61,58.66,ON
36.65,24.52,64.19,ON
83.64,38.82,55.5,ON
32.95,24.1,64.4,ON
50.46,30.14,65.2,ON
49.78,29.98,62.14,ON
50.23,31.16,61.22,ON
33.25,25.25,65.25,ON
38.18,25.76,65.91,ON
36.65,24.95,72.85,ON
56.54,31.35,56.56,ON
56.6,31.08,66.74,ON
94.52,44.34,51.27,ON
77.42,39.96,54.35,ON
39.8,29.49,61.57,ON
56.5,30.35,55.01,ON
69.94,36.92,54.67,ON
50.61,27.39,62.88,ON
48.61,30.33,58.82,ON
51.03,32.47,67.0,ON
67.35,34.9,54.94,ON
33.03,27.06,62.93,ON
43.49,25.77,61.52,ON
59.41,31.05,67.63,ON
56.23,31.6,54.33,ON
54.79,33.48,61.99,ON
42.6,26.95,69.82,ON
69.45,34.93,66.08,ON
92.68,40.82,56.39,ON
58.13,32.84,68.94,ON
46.14,31.33,56.44,ON
65.11,35.94,55.68,ON
39.22,28.16,60.41,ON
35.01,25.09,66.23,ON
50.66,29.07,51.99,ON
0.0,16.35,74.93,OFF
26.92,23.01,72.35,OFF
43.04,27.57,62.02,ON
22.93,23.68,72.09,OFF
29.35,23.41,68.82,OFF
41.27,25.7,59.69,ON
17.14,21.96,63.37,OFF
41.88,27.73,60.83,ON
39.29,24.71,66.82,ON
50.51,27.93,67.95,ON
73.08,37.12,61.09,ON
53.45,35.71,55.47,ON
50.42,29.34,62.96,ON
51.99,29.92,58.98,ON
54.55,34.41,67.26,ON
29.67,23.79,63.81,OFF
47.7,26.41,63.81,ON
56.18,28.71,61.36,ON
22.58,24.23,59.47,OFF
67.31,36.53,57.69,ON
71.63,38.14,61.23,ON
37.37,26.1,63.49,ON
45.17,27.1,55.49,ON
32.44,24.3,64.38,ON
63.99,34.47,55.76,ON
28.78,21.96,67.09,OFF
45.55,29.79,66.95,ON
32.82,22.33,63.1,ON
51.02,29.64,61.44,ON
14.12,18.83,68.94,OFF
76.53,36.58,50.92,ON
30.71,19.8,69.88,ON
51.2,31.26,59.78,ON
45.75,27.21,58.89,ON
34.76,28.08,56.42,ON
32.24,23.99,65.39,ON
68.73,34.54,63.38,ON
39.49,27.03,66.24,ON
55.42,33.73,53.87,ON
33.97,24.06,63.86,ON
37.06,28.15,65.41,ON
59.44,35.71,64.54,ON
68.61,37.56,65.0,ON
46.49,32.2,61.76,ON
21.56,24.05,70.95,OFF
89.96,45.0,46.0,ON
32.87,28.07,65.7,ON
19.17,21.17,75.26,OFF
100.0,44.14,53.31,ON
41.92,23.05,73.05,ON
20.77,18.58,75.63,OFF
36.33,25.0,68.12,ON
57.35,31.44,69.51,ON
53.81,30.84,60.05,ON
32.97,22.89,65.12,ON
86.45,37.74,64.98,ON
39.57,26.61,65.98,ON
26.31,22.51,60.28,OFF
69.21,34.15,59.65,ON
76.58,36.49,73.01,ON
33.65,23.21,54.23,ON
21.97,20.8,74.13,OFF
70.61,34.47,56.77,ON
9.05,20.24,70.5,OFF
25.47,23.12,70.25,OFF
69.35,33.86,52.94,ON
48.89,29.11,54.75,ON
44.72,26.06,60.02,ON
57.06,34.14,59.03,ON
